,sentence,Word,Tag,POS
72,sentence : 3,When,O,WRB
73,sentence : 3,is,O,VBZ
74,sentence : 3,tht,O,JJ
75,sentence : 3,one,O,CD
76,sentence : 3,day,O,NN
77,sentence : 3,?:,O,NNP
78,sentence : 3,P,O,NNP
79,sentence : 4,The,O,DT
80,sentence : 4,Basic,O,NNP
81,sentence : 4,Step,O,NNP
82,sentence : 4,Before,O,IN
83,sentence : 4,You,O,PRP
84,sentence : 4,Even,O,RB
85,sentence : 4,Start,O,NNP
86,sentence : 4,Thinking,O,NNP
87,sentence : 4,Of,O,IN
88,sentence : 4,Making,O,VBG
89,sentence : 4,Your,O,PRP$
91,sentence : 4,Keyword,O,NNP
92,sentence : 4,research,O,NN
93,sentence : 4,is,O,VBZ
94,sentence : 4,a,O,DT
95,sentence : 4,well,O,RB
96,sentence : 4,known,O,VBN
97,sentence : 4,subject,O,NN
99,sentence : 4,yet,O,RB
100,sentence : 4,so,O,RB
102,sentence : 4,http://bit.ly/9XQgSr,O,NN
103,sentence : 5,today,O,NN
104,sentence : 5,just,O,RB
105,sentence : 5,does,O,VBZ
106,sentence : 5,n't,O,RB
107,sentence : 5,feel,O,VB
108,sentence : 5,like,O,IN
109,sentence : 5,a,O,DT
110,sentence : 5,Friday,O,NNP
111,sentence : 6,RT,O,NNP
112,sentence : 6,@Slijterijmeisje,O,NN
114,sentence : 6,Kreeg,O,NNP
115,sentence : 6,net,O,NN
116,sentence : 6,een,O,NN
117,sentence : 6,bruikbare,O,NN
118,sentence : 6,tip,O,NN
119,sentence : 6,van,O,NN
120,sentence : 6,iemand,O,NN
121,sentence : 6,die,O,NN
122,sentence : 6,vorige,O,FW
123,sentence : 6,week,O,NN
124,sentence : 6,was,O,VBD
125,sentence : 6,begonnen,O,JJ
126,sentence : 6,met,O,VBD
127,sentence : 6,een,O,JJ
128,sentence : 6,whiskydieet,O,NN
130,sentence : 6,hij,O,NN
131,sentence : 6,was,O,VBD
132,sentence : 6,nu,O,JJ
133,sentence : 6,al,O,RB
134,sentence : 6,3,O,CD
135,sentence : 6,dagen,O,NN
136,sentence : 6,kwijt,O,NN
137,sentence : 7,You,O,PRP
138,sentence : 7,Get,O,VBP
139,sentence : 7,What,O,WP
140,sentence : 7,You,O,PRP
141,sentence : 7,Give,O,VBP
142,sentence : 7,~,O,JJ
143,sentence : 7,Zac,B,NNP
144,sentence : 7,Brown,I,NNP
145,sentence : 7,Band,I,NNP
146,sentence : 7,40,O,CD
147,sentence : 7,days,O,NNS
148,sentence : 7,in,O,IN
149,sentence : 7,the,O,DT
150,sentence : 7,top,O,JJ
151,sentence : 7,100,O,CD
152,sentence : 7,Release,O,NN
153,sentence : 7,Date,O,NNP
155,sentence : 7,September,O,NNP
156,sentence : 7,21,O,CD
158,sentence : 7,2010Buy,O,CD
159,sentence : 7,new,O,JJ
161,sentence : 7,$,O,$
162,sentence : 7,18.98,O,CD
163,sentence : 7,$,O,$
165,sentence : 7,http://amzn.to/9Cfkpc,O,NN
166,sentence : 8,Last,O,JJ
167,sentence : 8,stop,O,NN
168,sentence : 8,of,O,IN
169,sentence : 8,the,O,DT
170,sentence : 8,day,O,NN
171,sentence : 8,thank,O,VBD
172,sentence : 8,goddddd,O,JJ
173,sentence : 8,(@,O,NNP
174,sentence : 8,H-E-B,O,NNP
175,sentence : 8,Plus,O,NNP
176,sentence : 8,),O,)
177,sentence : 8,http://4sq.com/7RDhgd,O,VBD
178,sentence : 9,its,O,PRP$
179,sentence : 9,friday,O,NN
181,sentence : 9,but,O,CC
182,sentence : 9,instead,O,RB
183,sentence : 9,of,O,IN
184,sentence : 9,partying,O,VBG
185,sentence : 9,or,O,CC
186,sentence : 9,doing,O,VBG
187,sentence : 9,homework,O,NN
189,sentence : 9,I'm,O,NNP
190,sentence : 9,going,O,VBG
191,sentence : 9,to,O,TO
192,sentence : 9,tumblr,B,VB
193,sentence : 9,for,O,IN
194,sentence : 9,a,O,DT
195,sentence : 9,bit,O,NN
196,sentence : 9,and,O,CC
197,sentence : 9,sleep,O,JJ
198,sentence : 9,XD,O,NNP
199,sentence : 10,i'm,O,NN
200,sentence : 10,off,O,IN
201,sentence : 10,to,O,TO
202,sentence : 10,bed,O,NN
204,sentence : 10,tomorrow,O,NN
205,sentence : 10,i'll,O,NN
206,sentence : 10,go,O,VBP
207,sentence : 10,to,O,TO
208,sentence : 10,Nijverdal,B,NNP
209,sentence : 10,and,O,CC
210,sentence : 10,meet,O,NN
211,sentence : 10,@ElineEpica,O,NNP
212,sentence : 10,there,O,RB
214,sentence : 10,on,O,IN
215,sentence : 10,her,O,PRP$
216,sentence : 10,sweeeet16,O,NN
217,sentence : 10,#partyyy,O,NN
218,sentence : 11,@GOBLUE_FUCKosu,O,VBD
219,sentence : 11,it,O,PRP
220,sentence : 11,was,O,VBD
221,sentence : 11,our,O,PRP$
222,sentence : 11,10th,O,CD
223,sentence : 11,grade,O,JJ
224,sentence : 11,year,O,NN
226,sentence : 11,smh,O,NN
227,sentence : 12,I,O,PRP
228,sentence : 12,think,O,VBP
229,sentence : 12,one,O,CD
230,sentence : 12,of,O,IN
231,sentence : 12,the,O,DT
232,sentence : 12,coolest,O,JJS
233,sentence : 12,things,O,NNS
234,sentence : 12,to,O,TO
235,sentence : 12,do,O,VB
236,sentence : 12,would,O,MD
237,sentence : 12,be,O,VB
238,sentence : 12,to,O,TO
239,sentence : 12,hang,O,VB
240,sentence : 12,out,O,RP
241,sentence : 12,with,O,IN
242,sentence : 12,the,B,DT
243,sentence : 12,Rza,I,NNP
244,sentence : 12,for,O,IN
245,sentence : 12,a,O,DT
246,sentence : 12,day,O,NN
248,sentence : 13,You,O,PRP
249,sentence : 13,remeber,O,VBP
250,sentence : 13,we,O,PRP
251,sentence : 13,were,O,VBD
252,sentence : 13,sitting,O,VBG
253,sentence : 13,there,O,RB
254,sentence : 13,by,O,IN
255,sentence : 13,the,O,DT
256,sentence : 13,water,O,NN
257,sentence : 13,you,O,PRP
258,sentence : 13,put,O,VBP
259,sentence : 13,your,O,PRP$
260,sentence : 13,arm,O,NN
261,sentence : 13,around,O,IN
262,sentence : 13,me,O,PRP
263,sentence : 13,for,O,IN
264,sentence : 13,the,O,DT
265,sentence : 13,first,O,JJ
266,sentence : 13,time,O,NN
267,sentence : 13,you,O,PRP
268,sentence : 13,made,O,VBD
269,sentence : 13,a,O,DT
270,sentence : 13,rebel,O,JJ
271,sentence : 13,careless,O,NN
272,sentence : 13,mans,O,NNS
273,sentence : 13,careful,O,JJ
274,sentence : 13,daughter,O,RB
275,sentence : 14,@daxx_d24,O,VBP
276,sentence : 14,best,O,JJS
277,sentence : 14,feeling,O,NN
278,sentence : 14,in,O,IN
279,sentence : 14,the,O,DT
280,sentence : 14,world,O,NN
281,sentence : 14,twice,O,RB
282,sentence : 14,this,O,DT
283,sentence : 14,week,O,NN
285,sentence : 14,Got,O,VBD
286,sentence : 14,3,O,CD
287,sentence : 14,more,O,JJR
288,sentence : 14,on,O,IN
289,sentence : 14,the,O,DT
290,sentence : 14,way,O,NN
291,sentence : 14,lmao,O,NN
292,sentence : 14,i,O,NN
293,sentence : 14,cant,O,VBP
294,sentence : 14,stop,O,NN
295,sentence : 15,@DEVEY2G,O,NN
296,sentence : 15,no,O,DT
297,sentence : 15,I,O,PRP
298,sentence : 15,liked,O,VBD
299,sentence : 15,the,O,DT
300,sentence : 15,one,O,CD
301,sentence : 15,u,O,NN
302,sentence : 15,had,O,VBD
303,sentence : 15,had,O,VBN
304,sentence : 15,that,O,IN
305,sentence : 15,time,O,NN
306,sentence : 15,but,O,CC
307,sentence : 15,I'm,O,NNP
308,sentence : 15,sure,O,VBP
309,sentence : 15,I,O,PRP
310,sentence : 15,cood,O,VBD
311,sentence : 15,make,O,VB
312,sentence : 15,one,O,CD
313,sentence : 15,wit,O,NN
314,sentence : 15,my,O,PRP$
315,sentence : 15,bro,O,NN
316,sentence : 15,possibly,O,RB
317,sentence : 16,Always,O,NNP
318,sentence : 16,kinda,O,NNP
319,sentence : 16,awkward,O,RB
320,sentence : 16,when,O,WRB
321,sentence : 16,you,O,PRP
322,sentence : 16,get,O,VBP
323,sentence : 16,the,O,DT
324,sentence : 16,chat,O,NN
325,sentence : 16,group,O,NN
326,sentence : 16,wrong,O,JJ
327,sentence : 16,in,O,IN
328,sentence : 16,WoW,B,NNP
330,sentence : 16,Sometimes,O,RB
331,sentence : 16,you,O,PRP
332,sentence : 16,don't,O,VBP
333,sentence : 16,want,O,VB
334,sentence : 16,the,O,DT
335,sentence : 16,tank,O,NN
336,sentence : 16,to,O,TO
337,sentence : 16,know,O,VB
338,sentence : 16,you're,O,RB
339,sentence : 16,dissin,O,NN
341,sentence : 16,him,O,PRP
343,sentence : 16,Oops,O,NNP
345,sentence : 17,Kristen,B,NNP
346,sentence : 17,is,O,VBZ
347,sentence : 17,MY,O,NNP
348,sentence : 17,LIFE,O,NNP
350,sentence : 17,She,O,PRP
351,sentence : 17,made,O,VBD
352,sentence : 17,me,O,PRP
353,sentence : 17,who,O,WP
354,sentence : 17,i,O,VBP
355,sentence : 17,am,O,VBP
356,sentence : 17,today,O,NN
358,sentence : 17,I,O,PRP
359,sentence : 17,was,O,VBD
360,sentence : 17,a,O,DT
361,sentence : 17,fucker,O,NN
362,sentence : 17,before,O,IN
363,sentence : 17,her,O,PRP
365,sentence : 17,she,O,PRP
366,sentence : 17,fixed,O,VBD
367,sentence : 17,me,O,PRP
369,sentence : 17,And,O,CC
370,sentence : 17,so,O,RB
371,sentence : 17,did,O,VBD
372,sentence : 17,Robert,B,NNP
374,sentence : 18,Wtf,O,NNP
375,sentence : 18,do,O,VBP
376,sentence : 18,i,O,NNS
377,sentence : 18,have,O,VBP
378,sentence : 18,a,O,DT
379,sentence : 18,stupid,O,JJ
380,sentence : 18,3hr,O,CD
381,sentence : 18,shift,O,NN
382,sentence : 18,tonight,O,NN
384,sentence : 18,I,O,PRP
385,sentence : 18,wanna,O,VBP
386,sentence : 18,go,O,VB
387,sentence : 18,out,O,RB
388,sentence : 18,and,O,CC
389,sentence : 18,have,O,VBP
390,sentence : 18,fun,O,VBN
392,sentence : 18,Oh,O,NNP
393,sentence : 18,well,O,RB
394,sentence : 18,time,O,NN
395,sentence : 18,to,O,TO
396,sentence : 18,watch,O,VB
397,sentence : 18,some,O,DT
398,sentence : 18,Jersey,B,NNP
399,sentence : 18,Shore,I,NNP
400,sentence : 18,haha,O,NN
401,sentence : 19,@BPadalecki1990,O,NNP
402,sentence : 19,Do,O,NNP
403,sentence : 19,you,O,PRP
404,sentence : 19,have,O,VBP
405,sentence : 19,any,O,DT
406,sentence : 19,pic,O,NN
407,sentence : 19,'s,O,POS
408,sentence : 19,from,O,IN
409,sentence : 19,your,O,PRP$
410,sentence : 19,wedding,O,VBG
411,sentence : 19,day,O,NN
412,sentence : 19,hun,O,NN
413,sentence : 19,I,O,PRP
414,sentence : 19,would,O,MD
415,sentence : 19,like,O,VB
416,sentence : 19,to,O,TO
417,sentence : 19,see,O,VB
418,sentence : 19,them,O,PRP
419,sentence : 20,RT,O,NNP
420,sentence : 20,@HeyThatsSoTrue,O,NN
422,sentence : 20,When,O,WRB
423,sentence : 20,I,O,PRP
424,sentence : 20,was,O,VBD
425,sentence : 20,little,O,JJ
427,sentence : 20,I,O,PRP
428,sentence : 20,had,O,VBD
429,sentence : 20,a,O,DT
430,sentence : 20,huge,O,JJ
431,sentence : 20,imagination,O,NN
433,sentence : 20,Now,O,RB
434,sentence : 20,I,O,PRP
435,sentence : 20,can't,O,VBP
436,sentence : 20,even,O,RB
437,sentence : 20,make,O,VBP
438,sentence : 20,up,O,RP
439,sentence : 20,a,O,DT
440,sentence : 20,story,O,NN
441,sentence : 20,for,O,IN
442,sentence : 20,english,O,JJ
443,sentence : 20,class,O,NN
445,sentence : 20,#HeyThatsSoTrue,O,VB
446,sentence : 21,Your,O,PRP$
447,sentence : 21,paycheck,O,NN
448,sentence : 21,may,O,MD
449,sentence : 21,shrink,O,VB
450,sentence : 21,next,O,JJ
451,sentence : 21,year,O,NN
453,sentence : 21,at,O,IN
454,sentence : 21,least,O,JJS
455,sentence : 21,temporarily,O,RB
457,sentence : 21,if,O,IN
458,sentence : 21,a,O,DT
459,sentence : 21,vote,O,NN
460,sentence : 21,on,O,IN
461,sentence : 21,extending,O,VBG
462,sentence : 21,the,O,DT
463,sentence : 21,Bush,B,NNP
464,sentence : 21,tax,O,NN
465,sentence : 21,cuts,O,NNS
466,sentence : 21,slips,O,VBP
467,sentence : 21,past,O,JJ
468,sentence : 21,November,O,NNP
470,sentence : 21,http://bit.ly/9y8fdS,O,NN
471,sentence : 22,Dollar,O,NNP
472,sentence : 22,steady,O,JJ
473,sentence : 22,versus,O,NN
474,sentence : 22,yen,O,NNS
475,sentence : 22,but,O,CC
476,sentence : 22,market,O,NN
477,sentence : 22,wary,O,NN
478,sentence : 22,of,O,IN
479,sentence : 22,intervention,O,NN
480,sentence : 22,|,O,NNP
481,sentence : 22,Money,O,NNP
483,sentence : 22,The,O,DT
484,sentence : 22,dollar,O,NN
485,sentence : 22,held,O,VBD
486,sentence : 22,near,O,IN
487,sentence : 22,its,O,PRP$
488,sentence : 22,highest,O,JJS
489,sentence : 22,in,O,IN
490,sentence : 22,a,O,DT
491,sentence : 22,month,O,NN
493,sentence : 22,http://bit.ly/a0F3dO,O,NN
494,sentence : 23,Greek,B,JJ
495,sentence : 23,Festival,I,NNP
496,sentence : 23,at,O,IN
497,sentence : 23,St,B,NNP
498,sentence : 23,Johns,I,NNP
499,sentence : 23,before,O,IN
500,sentence : 23,ASPEN,B,NNP
501,sentence : 24,Ew,O,NNP
502,sentence : 24,wait,O,VBP
503,sentence : 24,baq,O,NN
504,sentence : 24,da,O,NN
505,sentence : 24,fuq,O,NN
506,sentence : 24,up,O,IN
508,sentence : 24,I,O,PRP
509,sentence : 24,have,O,VBP
510,sentence : 24,to,O,TO
511,sentence : 24,look,O,VB
512,sentence : 24,after,O,IN
513,sentence : 24,Michael,B,NNP
514,sentence : 24,and,O,CC
515,sentence : 24,his,O,PRP$
516,sentence : 24,friend,O,NN
518,sentence : 24,JOY,O,NNP
520,sentence : 24,#NAME?,O,VB
521,sentence : 25,It,O,PRP
522,sentence : 25,'s,O,VBZ
523,sentence : 25,5pm,O,CD
524,sentence : 25,on,O,IN
525,sentence : 25,Friday,O,NNP
527,sentence : 25,Wish,O,NNP
528,sentence : 25,you,O,PRP
529,sentence : 25,guys,O,VBP
530,sentence : 25,have,O,VB
531,sentence : 25,a,O,DT
532,sentence : 25,fabulous,O,JJ
533,sentence : 25,evening,O,NN
535,sentence : 25,And,O,CC
536,sentence : 25,have,O,VBP
537,sentence : 25,a,O,DT
538,sentence : 25,wonderful,O,JJ
539,sentence : 25,weekend,O,NN
540,sentence : 25,&lt;,O,VBD
541,sentence : 25,3,O,CD
542,sentence : 25,&lt;,O,JJ
543,sentence : 25,3,O,CD
544,sentence : 25,http://fb.me/xLeN7MAe,O,NN
545,sentence : 26,#jobs,O,NN
546,sentence : 26,#careers,O,NNS
547,sentence : 26,#Greenville,O,VBP
548,sentence : 26,AT&amp;T,B,NNP
549,sentence : 26,Full,O,NNP
550,sentence : 26,Time,O,NNP
551,sentence : 26,Retail,O,NNP
552,sentence : 26,Sales,O,NNS
553,sentence : 26,Consultant(s,O,NNP
554,sentence : 26,),O,)
556,sentence : 26,Greenville,B,NNP
558,sentence : 26,AL,B,NNP
559,sentence : 26,http://bit.ly/dflARA,O,NN
560,sentence : 27,MetroPCS,B,NNP
561,sentence : 27,has,O,VBZ
562,sentence : 27,the,O,DT
563,sentence : 27,worst,O,JJS
564,sentence : 27,customer,O,NN
565,sentence : 27,service,O,NN
566,sentence : 27,I,O,PRP
567,sentence : 27,'ve,O,VBP
568,sentence : 27,experienced,O,VBN
569,sentence : 27,in,O,IN
570,sentence : 27,months,O,NNS
571,sentence : 27,(,O,(
572,sentence : 27,trying,O,VBG
573,sentence : 27,to,O,TO
574,sentence : 27,help,O,VB
575,sentence : 27,someone,O,NN
576,sentence : 27,order,O,NN
577,sentence : 27,a,O,DT
578,sentence : 27,phone,O,NN
579,sentence : 27,),O,)
580,sentence : 27,#metropcs,O,NN
581,sentence : 27,#fail,O,VBP
582,sentence : 28,This,O,DT
583,sentence : 28,next,O,JJ
584,sentence : 28,question,O,NN
586,sentence : 28,may,O,MD
587,sentence : 28,take,O,VB
588,sentence : 28,a,O,DT
589,sentence : 28,few,O,JJ
590,sentence : 28,moments,O,NNS
591,sentence : 28,to,O,TO
592,sentence : 28,research,O,NN
594,sentence : 28,BUT,O,IN
595,sentence : 28,the,O,DT
596,sentence : 28,answer,O,NN
597,sentence : 28,IS,O,NNP
598,sentence : 28,on,O,IN
599,sentence : 28,JavaMonkeys,O,NNP
601,sentence : 28,com,O,NN
603,sentence : 28,So,O,RB
605,sentence : 28,we,O,PRP
606,sentence : 28,will,O,MD
607,sentence : 28,pick,O,VB
608,sentence : 28,a,O,DT
610,sentence : 28,http://fb.me/GTRhPujh,O,NN
611,sentence : 29,I,O,PRP
612,sentence : 29,just,O,RB
613,sentence : 29,took,O,VBD
615,sentence : 29,Justin,B,NNP
616,sentence : 29,Bieber,I,NNP
617,sentence : 29,takes,O,VBZ
618,sentence : 29,2,O,CD
619,sentence : 29,months,O,NNS
620,sentence : 29,off,O,IN
621,sentence : 29,career,O,NN
622,sentence : 29,to,O,TO
623,sentence : 29,finish,O,VB
624,sentence : 29,school,O,NN
626,sentence : 29,He,O,PRP
627,sentence : 29,is,O,VBZ
628,sentence : 29,a,O,DT
629,sentence : 29,huge,O,JJ
630,sentence : 29,player,O,NN
632,sentence : 29,and,O,CC
633,sentence : 29,got,O,VBD
635,sentence : 29,Part,O,VB
636,sentence : 29,8,O,CD
638,sentence : 29,Try,O,VB
639,sentence : 29,it,O,PRP
641,sentence : 29,http://bit.ly/cNarLp,O,VB
642,sentence : 30,The,O,DT
643,sentence : 30,week,O,NN
644,sentence : 30,ahead,O,RB
646,sentence : 30,http://newzfor.me/?7jfc,O,NN
647,sentence : 31,RT,O,NNP
648,sentence : 31,@NPR,O,NN
650,sentence : 31,Song,O,NN
651,sentence : 31,of,O,IN
652,sentence : 31,the,O,DT
653,sentence : 31,Day,O,NNP
655,sentence : 31,Blonde,B,NNP
656,sentence : 31,Redhead,I,NNP
658,sentence : 31,A,B,DT
659,sentence : 31,Different,I,NNP
660,sentence : 31,Kind,I,NNP
661,sentence : 31,Of,I,IN
662,sentence : 31,Ache,I,NNP
663,sentence : 31,http://n.pr/9O8yXE,O,NN
664,sentence : 32,we,O,PRP
665,sentence : 32,need,O,VBP
666,sentence : 32,some,O,DT
667,sentence : 32,time,O,NN
668,sentence : 32,alone,O,RB
669,sentence : 32,we,O,PRP
670,sentence : 32,need,O,VBP
671,sentence : 32,to,O,TO
672,sentence : 32,let,O,VB
673,sentence : 32,it,O,PRP
674,sentence : 32,BREATH,O,NNP
675,sentence : 33,@AishaHanii2,O,NNP
676,sentence : 33,@starflower1204,O,NNP
677,sentence : 33,Ahhh,O,NNP
678,sentence : 33,okay,O,NN
680,sentence : 33,I've,O,NNP
681,sentence : 33,never,O,RB
682,sentence : 33,ordered,O,VBD
683,sentence : 33,a,O,DT
684,sentence : 33,CD,O,NN
685,sentence : 33,before,O,IN
686,sentence : 33,so,O,RB
687,sentence : 33,I,O,PRP
688,sentence : 33,have,O,VBP
689,sentence : 33,NO,O,DT
690,sentence : 33,idea,O,NN
692,sentence : 33,just,O,RB
693,sentence : 33,say,O,VBP
694,sentence : 33,I,O,PRP
695,sentence : 33,NEED,O,VBP
696,sentence : 33,IT,O,NNP
697,sentence : 33,TO,O,NNP
698,sentence : 33,GET,O,NNP
699,sentence : 33,THROUGH,O,IN
700,sentence : 33,THE,O,NNP
701,sentence : 33,WEEKEND,O,NNP
703,sentence : 33,xD,O,NNP
704,sentence : 34,RT,O,NNP
705,sentence : 34,@Ashanie_di_Don,O,NN
707,sentence : 34,@JDay_Sept15,O,JJ
708,sentence : 34,lol,O,NN
709,sentence : 34,i,O,NN
710,sentence : 34,see,O,VBP
711,sentence : 34,someone,O,NN
712,sentence : 34,hyped,O,VBD
713,sentence : 34,and,O,CC
714,sentence : 34,ready,O,JJ
715,sentence : 34,for,O,IN
716,sentence : 34,#FlavaFridays,O,NNS
717,sentence : 34,tonight,O,JJ
718,sentence : 34,&lt;,O,RB
719,sentence : 34,every,O,DT
720,sentence : 34,week,O,NN
722,sentence : 34,Lets,O,VBZ
723,sentence : 34,get,O,VBP
724,sentence : 34,it,O,PRP
726,sentence : 35,@BeliebinMinajj,O,JJ
727,sentence : 35,OMG,O,NNP
728,sentence : 35,MILLIONS,O,NNP
729,sentence : 35,it,O,PRP
730,sentence : 35,was,O,VBD
731,sentence : 35,on,O,IN
732,sentence : 35,repeat,O,NN
733,sentence : 35,yesterday,O,NN
734,sentence : 35,all,O,DT
735,sentence : 35,day,O,NN
736,sentence : 35,till,O,VB
737,sentence : 35,my,O,PRP$
738,sentence : 35,last,O,JJ
739,sentence : 35,lesson,O,NN
740,sentence : 35,and,O,CC
741,sentence : 35,then,O,RB
742,sentence : 35,around,O,IN
743,sentence : 35,9pm,O,CD
744,sentence : 35,i,O,NN
745,sentence : 35,put,O,VBD
746,sentence : 35,it,O,PRP
747,sentence : 35,back,O,RB
748,sentence : 35,and,O,CC
749,sentence : 35,then,O,RB
750,sentence : 35,its,O,PRP$
751,sentence : 35,been,O,VBN
752,sentence : 35,on,O,IN
753,sentence : 36,But,O,CC
754,sentence : 36,what,O,WP
755,sentence : 36,happens,O,VBZ
756,sentence : 36,when,O,WRB
757,sentence : 36,karam,O,NN
758,sentence : 36,turns,O,VBZ
759,sentence : 36,right,O,JJ
760,sentence : 36,around,O,IN
761,sentence : 36,and,O,CC
762,sentence : 36,bites,O,VBZ
763,sentence : 36,you,O,PRP
764,sentence : 36,?,O,.
765,sentence : 36,And,O,CC
766,sentence : 36,everything,O,NN
767,sentence : 36,you,O,PRP
768,sentence : 36,stand,O,VBP
769,sentence : 36,for,O,IN
770,sentence : 36,turns,O,NNS
771,sentence : 36,on,O,IN
772,sentence : 36,you,O,PRP
773,sentence : 36,despite,O,IN
774,sentence : 36,you,O,PRP
775,sentence : 36,?,O,.
776,sentence : 37,Today,O,''
777,sentence : 37,I,O,PRP
778,sentence : 37,must,O,MD
779,sentence : 37,make,O,VB
780,sentence : 37,full,O,JJ
781,sentence : 37,use,O,NN
782,sentence : 37,of,O,IN
783,sentence : 37,the,O,DT
784,sentence : 37,filter,O,NN
786,sentence : 37,Please,O,NNP
787,sentence : 37,don't,O,VB
788,sentence : 37,fail,O,VB
789,sentence : 37,me,O,PRP
790,sentence : 37,today,O,NN
792,sentence : 38,@i_r_squared,O,VBN
793,sentence : 38,In,O,IN
794,sentence : 38,December,O,NNP
796,sentence : 38,I,O,PRP
797,sentence : 38,would,O,MD
798,sentence : 38,advise,O,VB
799,sentence : 38,against,O,IN
800,sentence : 38,that,O,DT
802,sentence : 39,@Johnterrysbabe,O,VB
803,sentence : 39,lol,O,JJ
804,sentence : 39,I'm,O,NNP
805,sentence : 39,not,O,RB
806,sentence : 39,up,O,RB
807,sentence : 39,to,O,TO
808,sentence : 39,much,O,JJ
809,sentence : 39,I'm,O,NNP
810,sentence : 39,just,O,RB
811,sentence : 39,off,O,IN
812,sentence : 39,to,O,TO
813,sentence : 39,bed,O,VB
814,sentence : 39,lol,O,NN
815,sentence : 39,had,O,VBD
816,sentence : 39,a,O,DT
817,sentence : 39,long,O,JJ
818,sentence : 39,day,O,NN
819,sentence : 39,cht,O,VB
820,sentence : 39,tumoz,O,NN
821,sentence : 39,:),O,NNP
822,sentence : 40,@rishi_syd,O,NNP
823,sentence : 40,hey,O,NN
825,sentence : 40,I'm,O,NNP
826,sentence : 40,fine,O,VBP
828,sentence : 40,Thanx,O,NNP
829,sentence : 40,:),O,NNP
830,sentence : 40,u,O,RB
831,sentence : 40,too,O,RB
832,sentence : 40,have,O,VBP
833,sentence : 40,a,O,DT
834,sentence : 40,great,O,JJ
835,sentence : 40,day,O,NN
836,sentence : 40,;),O,NNP
837,sentence : 41,#BlackHoliday,O,NNP
838,sentence : 41,Marvin,B,NNP
839,sentence : 41,Gaye,I,NNP
840,sentence : 41,Day,O,NNP
841,sentence : 42,'WHEN,O,POS
842,sentence : 42,HE,O,NNP
843,sentence : 42,SAY,O,NNP
845,sentence : 42,iS,O,VBZ
846,sentence : 42,YOU,O,NNP
847,sentence : 42,CHEATiN,O,NNP
848,sentence : 42,ON,O,NNP
849,sentence : 42,ME,O,NNP
851,sentence : 42,THAT,O,NNP
852,sentence : 42,JUST,O,NNP
853,sentence : 42,#REALLYMEANS,O,RB
855,sentence : 42,HE,O,NNP
856,sentence : 42,ALREADY,O,NNP
857,sentence : 42,CHEATiN,O,NNP
859,sentence : 43,party,O,NN
860,sentence : 43,today,O,NN
861,sentence : 43,&lt;,O,VBP
862,sentence : 43,3,O,CD
863,sentence : 43,:),O,NNP
864,sentence : 43,happy,O,JJ
865,sentence : 43,birthday,O,NN
866,sentence : 43,florence,B,NN
867,sentence : 43,&lt;,O,VBD
868,sentence : 43,3,O,CD
869,sentence : 44,@JoshenReborn,O,JJ
870,sentence : 44,let,O,VB
871,sentence : 44,me,O,PRP
872,sentence : 44,know,O,VB
873,sentence : 44,if,O,IN
874,sentence : 44,or,O,CC
875,sentence : 44,when,O,WRB
876,sentence : 44,you,O,PRP
877,sentence : 44,are,O,VBP
878,sentence : 44,coming,O,VBG
880,sentence : 44,#FullHouse,O,VB
881,sentence : 45,u,O,JJ
882,sentence : 45,kno,O,NNS
